rt,response,participant_id,trial_index,task_1,cue_1_dur,congruency,task_switch,or_switch,mov_switch
0.8869090000003343,1.0,4.0,0.0,or,2970.0,1,1,0,0
1.1720320000003557,1.0,4.0,1.0,mov,2970.0,1,1,0,0
1.6123320000004022,1.0,4.0,2.0,mov,2970.0,0,0,1,0
1.4973320000005206,1.0,4.0,3.0,mov,2970.0,1,0,1,0
0.9235550000001675,1.0,4.0,4.0,or,2970.0,0,1,1,0
1.003155000000028,1.0,4.0,5.0,or,2970.0,0,0,1,1
0.7516550000001444,1.0,4.0,6.0,or,2970.0,0,0,0,0
0.7280889999998035,1.0,4.0,7.0,or,2970.0,1,0,1,0
1.0621890000005951,1.0,4.0,8.0,mov,2970.0,0,1,1,0
0.8116889999997802,1.0,4.0,9.0,mov,2970.0,1,0,0,1
0.8333119999998017,-1.0,4.0,10.0,or,2970.0,0,1,0,1
1.8208120000000343,1.0,4.0,11.0,mov,2970.0,1,1,1,0
1.2321119999999646,1.0,4.0,12.0,or,2970.0,1,1,0,0
1.853234999999986,1.0,4.0,13.0,mov,2970.0,0,1,1,0
0.8980459999998566,1.0,4.0,14.0,mov,2970.0,0,0,0,0
0.854045999999973,1.0,4.0,15.0,or,2970.0,1,1,0,1
0.8586689999999945,1.0,4.0,16.0,or,2970.0,1,0,1,1
1.2296690000002273,1.0,4.0,17.0,mov,2970.0,1,1,0,0
0.7227689999999711,1.0,4.0,18.0,mov,2970.0,1,0,1,1
0.9443919999999926,1.0,4.0,19.0,or,2970.0,1,1,0,0
1.1483920000002257,1.0,4.0,20.0,mov,2970.0,0,1,0,1
1.2537029999999796,-1.0,4.0,21.0,or,2970.0,0,1,0,0
0.892326000000001,1.0,4.0,22.0,or,2970.0,1,0,0,1
0.7394259999998612,1.0,4.0,23.0,or,2970.0,1,0,1,1
1.6647259999997914,1.0,4.0,24.0,mov,2970.0,0,1,0,1
1.4373489999998128,1.0,4.0,25.0,mov,2970.0,1,0,1,0
1.3533490000000457,1.0,4.0,26.0,or,2970.0,0,1,0,1
1.0321489999999611,1.0,4.0,27.0,mov,2970.0,1,1,0,1
1.162372000000556,-1.0,4.0,28.0,mov,2970.0,0,0,0,1
1.0033830000005983,1.0,4.0,29.0,mov,2970.0,0,0,0,0
0.8066830000005429,1.0,4.0,30.0,or,2970.0,1,1,1,0
0.9153060000005644,1.0,4.0,31.0,mov,2970.0,1,1,0,0
0.9290060000000376,1.0,4.0,32.0,or,2970.0,1,1,1,1
0.9040060000001686,1.0,4.0,33.0,mov,2970.0,1,1,0,0
0.8658290000003762,1.0,4.0,34.0,mov,2970.0,1,0,1,1
0.761929000000222,1.0,4.0,35.0,mov,2970.0,1,0,0,0
0.6558400000005641,1.0,4.0,36.0,mov,2970.0,1,0,1,1
0.7732630000003701,1.0,4.0,37.0,mov,2970.0,1,0,1,1
0.6403630000001285,1.0,4.0,38.0,mov,2970.0,1,0,0,0
1.1064630000000033,-1.0,4.0,39.0,or,2970.0,0,1,0,1
0.7377860000001966,1.0,4.0,40.0,or,2970.0,0,0,0,0
0.9441859999998704,1.0,4.0,41.0,mov,2970.0,1,1,0,1
0.8043860000001732,1.0,4.0,42.0,or,2970.0,1,1,0,0
1.078509000000195,1.0,4.0,43.0,mov,2970.0,0,1,0,1
0.8645200000001351,1.0,4.0,44.0,or,2970.0,1,1,0,1
1.623919999999809,1.0,4.0,45.0,or,2970.0,0,0,0,1
0.9909430000002032,1.0,4.0,46.0,mov,2970.0,1,1,1,0
0.7094430000003195,1.0,4.0,47.0,mov,2970.0,1,0,0,0
0.9876429999998072,1.0,4.0,48.0,or,2970.0,1,1,0,0
0.6222659999998287,1.0,4.0,49.0,or,2970.0,1,0,0,0
0.9383660000006204,-1.0,4.0,50.0,or,2970.0,0,0,0,1
0.7035769999998156,1.0,4.0,51.0,or,2970.0,0,0,0,0
0.7263000000002794,1.0,4.0,52.0,or,2970.0,1,0,0,1
0.8608000000005123,1.0,4.0,53.0,mov,2970.0,1,1,1,1
1.2347000000001862,1.0,4.0,54.0,mov,2970.0,0,0,1,0
0.8004229999997479,1.0,4.0,55.0,mov,2970.0,0,0,1,1
1.364123000000138,1.0,4.0,56.0,or,2970.0,0,1,1,1
0.8464230000001844,1.0,4.0,57.0,or,2970.0,1,0,1,0
0.902757000000216,1.0,4.0,58.0,mov,2970.0,1,1,1,1
0.6730570000002626,1.0,4.0,59.0,mov,2970.0,1,0,0,0
1.3923570000000765,1.0,4.0,60.0,mov,2970.0,0,0,0,1
0.7474800000002142,1.0,4.0,61.0,mov,2970.0,0,0,1,1
0.7403799999998882,1.0,4.0,62.0,mov,2970.0,0,0,0,0
0.8430800000000745,1.0,4.0,63.0,mov,2970.0,0,0,1,1
0.8237030000001833,-1.0,4.0,64.0,or,2970.0,0,1,0,0
1.0122030000004452,1.0,4.0,65.0,or,2970.0,0,0,1,1
1.1365140000001992,1.0,4.0,66.0,mov,2970.0,1,1,0,1
1.1077369999997315,1.0,4.0,67.0,or,2970.0,1,1,1,1
1.4405369999997784,1.0,4.0,68.0,or,2970.0,0,0,0,1
0.9972370000001974,1.0,4.0,69.0,mov,2970.0,1,1,1,0
1.095760000000475,1.0,4.0,70.0,mov,2970.0,0,0,1,0
0.957160000000149,1.0,4.0,71.0,or,2970.0,1,1,1,0
1.8396600000003815,1.0,4.0,72.0,or,2970.0,1,0,1,1
1.127094000000041,1.0,4.0,73.0,or,2970.0,0,0,1,0
1.00229400000046,1.0,4.0,74.0,mov,2970.0,1,1,1,0
0.7496939999999304,1.0,4.0,75.0,or,2970.0,1,1,1,1
0.729417000000598,1.0,4.0,76.0,or,2970.0,1,0,0,0
0.8312170000006445,-1.0,4.0,77.0,or,2970.0,0,0,0,1
1.2142169999997423,1.0,4.0,78.0,mov,2970.0,0,1,0,0
1.1064400000004098,1.0,4.0,79.0,or,2970.0,1,1,0,1
1.4000079999999142,-1.0,4.0,0.0,mov,2970.0,0,1,0,1
0.7182310000006109,1.0,4.0,1.0,or,2970.0,1,1,0,1
0.8697309999999124,1.0,4.0,2.0,or,2970.0,1,0,1,1
1.7257309999999142,1.0,4.0,3.0,or,2970.0,0,0,0,1
0.911454000000609,1.0,4.0,4.0,or,2970.0,0,0,1,1
0.6535650000001769,1.0,4.0,5.0,or,2970.0,1,0,0,1
1.370665000000037,1.0,4.0,6.0,mov,2970.0,1,1,0,0
0.9964880000001284,1.0,4.0,7.0,mov,2970.0,0,0,0,1
0.8875879999999888,1.0,4.0,8.0,or,2970.0,0,1,0,0
0.6510880000002216,1.0,4.0,9.0,or,2970.0,1,0,1,0
1.0378109999997542,1.0,4.0,10.0,mov,2970.0,0,1,0,1
1.0316109999998009,1.0,4.0,11.0,or,2970.0,0,1,0,0
0.6993110000002198,1.0,4.0,12.0,or,2970.0,1,0,1,0
1.010045000000624,1.0,4.0,13.0,mov,2970.0,1,1,1,1
1.1416450000004843,1.0,4.0,14.0,mov,2970.0,0,0,0,1
0.9388449999997392,1.0,4.0,15.0,or,2970.0,0,1,1,1
0.975568000000436,1.0,4.0,16.0,mov,2970.0,1,1,1,0
1.0232679999999237,1.0,4.0,17.0,mov,2970.0,0,0,0,1
1.1668680000004823,1.0,4.0,18.0,mov,2970.0,0,0,1,1
1.0996909999998752,1.0,4.0,19.0,or,2970.0,1,1,1,0
1.0115020000005606,1.0,4.0,20.0,mov,2970.0,1,1,0,0
0.9396020000004208,1.0,4.0,21.0,or,2970.0,1,1,0,0
1.0699250000005125,1.0,4.0,22.0,mov,2970.0,1,1,0,0
0.909125,1.0,4.0,23.0,or,2970.0,1,1,0,0
0.776325000000419,1.0,4.0,24.0,or,2970.0,1,0,1,1
0.7960479999999516,1.0,4.0,25.0,or,2970.0,1,0,1,1
0.6392480000003706,1.0,4.0,26.0,or,2970.0,1,0,1,1
0.988447999999873,1.0,4.0,27.0,mov,2970.0,1,1,0,0
